source,target,weight,n_events,year,latest_date,examiner_cited
D0550278,D0550759,1,1,2007,2020-11-12T00:00:00,True
D0551699,D0554694,1,1,2007,2021-02-01T00:00:00,True
D0538335,D0549280,1,1,2007,2020-01-24T00:00:00,True
D0549280,D0556258,2,2,2007,2020-08-18T00:00:00,True
D0549280,D0557334,2,2,2007,2020-08-18T00:00:00,True
D0544907,D0556253,3,3,2007,2017-09-22T00:00:00,True
D0544907,D0558262,4,4,2007,2017-09-22T00:00:00,True
D0556253,D0558262,3,3,2007,2017-09-22T00:00:00,True
D0537470,D0538842,1,1,2007,2018-11-16T00:00:00,True
D0537470,D0538843,1,1,2007,2018-11-16T00:00:00,True
D0537470,D0539334,1,1,2007,2018-11-16T00:00:00,True
D0537470,D0539837,1,1,2007,2018-11-16T00:00:00,True
D0537470,D0545886,1,1,2007,2018-11-16T00:00:00,True
D0537470,D0552669,1,1,2007,2018-11-16T00:00:00,True
D0538842,D0538843,1,1,2007,2018-11-16T00:00:00,True
D0538842,D0539334,1,1,2007,2018-11-16T00:00:00,True
D0538842,D0539837,1,1,2007,2018-11-16T00:00:00,True
D0538842,D0545886,1,1,2007,2018-11-16T00:00:00,True
D0538842,D0552669,1,1,2007,2018-11-16T00:00:00,True
D0538843,D0539334,1,1,2007,2018-11-16T00:00:00,True
D0538843,D0539837,1,1,2007,2018-11-16T00:00:00,True
D0538843,D0545886,1,1,2007,2018-11-16T00:00:00,True
D0538843,D0552669,1,1,2007,2018-11-16T00:00:00,True
D0539334,D0539837,1,1,2007,2018-11-16T00:00:00,True
D0539334,D0545886,1,1,2007,2018-11-16T00:00:00,True
D0539334,D0552669,1,1,2007,2018-11-16T00:00:00,True
D0539837,D0545886,1,1,2007,2018-11-16T00:00:00,True
D0539837,D0552669,1,1,2007,2018-11-16T00:00:00,True
D0545886,D0552669,1,1,2007,2018-11-16T00:00:00,True
D0545886,D0545887,2,2,2007,2021-11-22T00:00:00,True
D0536374,D0540855,2,2,2007,2020-08-18T00:00:00,True
D0536374,D0549280,2,2,2007,2020-08-18T00:00:00,True
D0536374,D0556258,2,2,2007,2020-08-18T00:00:00,True
D0536374,D0557334,2,2,2007,2020-08-18T00:00:00,True
D0540855,D0549280,2,2,2007,2020-08-18T00:00:00,True
D0540855,D0556258,2,2,2007,2020-08-18T00:00:00,True
D0540855,D0557334,2,2,2007,2020-08-18T00:00:00,True
D0540855,D0541337,1,1,2007,2019-06-27T00:00:00,True
D0556258,D0557334,2,2,2007,2020-08-18T00:00:00,True
D0534579,D0549771,1,1,2007,2022-03-01T00:00:00,True
D0534579,D0552170,2,2,2007,2022-03-01T00:00:00,True
D0534579,D0554698,2,2,2007,2022-03-01T00:00:00,True
D0534579,D0535325,1,1,2007,2023-04-14T00:00:00,True
D0549771,D0552170,1,1,2007,2022-03-01T00:00:00,True
D0549771,D0554698,1,1,2007,2022-03-01T00:00:00,True
D0552170,D0554698,2,2,2007,2022-03-01T00:00:00,True
D0536726,D0542333,2,2,2007,2020-02-13T00:00:00,True
D0536726,D0542834,2,2,2007,2020-02-13T00:00:00,True
D0536726,D0543231,2,2,2007,2020-02-13T00:00:00,True
D0536726,D0545882,2,2,2007,2020-02-13T00:00:00,True
D0542333,D0542834,2,2,2007,2020-02-13T00:00:00,True
D0542333,D0543231,2,2,2007,2020-02-13T00:00:00,True
D0542333,D0545882,2,2,2007,2020-02-13T00:00:00,True
D0542834,D0543231,2,2,2007,2020-02-13T00:00:00,True
D0542834,D0545882,2,2,2007,2020-02-13T00:00:00,True
D0543231,D0545882,2,2,2007,2020-02-13T00:00:00,True
D0536370,D0542337,1,1,2007,2019-10-18T00:00:00,True
D0536370,D0544530,1,1,2007,2022-11-09T00:00:00,True
D0543232,D0543582,1,1,2007,2018-08-10T00:00:00,True
D0541332,D0545355,1,1,2007,2022-06-06T00:00:00,True
D0544903,D0547361,1,1,2007,2020-12-07T00:00:00,True
D0544903,D0553669,1,1,2007,2020-12-07T00:00:00,True
D0547361,D0553669,1,1,2007,2020-12-07T00:00:00,True
D0547361,D0554694,1,1,2007,2017-10-27T00:00:00,True
D0555194,D0555195,2,2,2007,2017-09-22T00:00:00,True
D0551700,D0555195,1,1,2007,2017-09-22T00:00:00,True
D0548272,D0548273,2,2,2007,2022-04-13T00:00:00,True
D0548272,D0555716,1,1,2007,2022-04-13T00:00:00,True
D0548272,D0558257,2,2,2007,2022-04-13T00:00:00,True
D0548272,D0557735,1,1,2007,2022-04-13T00:00:00,True
D0548273,D0555716,1,1,2007,2022-04-13T00:00:00,True
D0548273,D0558257,2,2,2007,2022-04-13T00:00:00,True
D0548273,D0557735,1,1,2007,2022-04-13T00:00:00,True
D0555716,D0558257,1,1,2007,2022-04-13T00:00:00,True
D0544532,D0548776,1,1,2007,2018-02-22T00:00:00,True
D0536730,D0542838,1,1,2007,2020-03-05T00:00:00,True
D0546376,D0546377,2,2,2007,2019-01-07T00:00:00,True
D0544906,D0557738,1,1,2007,2017-10-19T00:00:00,True
D0537114,D0544907,1,1,2007,2017-09-07T00:00:00,True
D0537114,D0558262,1,1,2007,2017-09-07T00:00:00,True
D0538333,D0540375,2,2,2007,2020-02-06T00:00:00,True
D0535324,D0548278,1,1,2007,2020-03-05T00:00:00,True
D0535324,D0552167,1,1,2007,2020-03-05T00:00:00,True
D0535324,D0553184,1,1,2007,2020-03-05T00:00:00,True
D0535324,D0540852,1,1,2007,2022-12-29T00:00:00,True
D0548278,D0552167,1,1,2007,2020-03-05T00:00:00,True
D0548278,D0553184,1,1,2007,2020-03-05T00:00:00,True
D0552167,D0553184,1,1,2007,2020-03-05T00:00:00,True
D0537477,D0538338,2,2,2007,2021-08-05T00:00:00,True
D0537477,D0547368,2,2,2007,2021-08-05T00:00:00,True
D0537477,D0551286,2,2,2007,2021-08-05T00:00:00,True
D0538338,D0547368,2,2,2007,2021-08-05T00:00:00,True
D0538338,D0551286,2,2,2007,2021-08-05T00:00:00,True
D0547368,D0551286,3,3,2007,2021-08-06T00:00:00,True
D0544525,D0550759,1,1,2007,2022-08-22T00:00:00,True
D0534582,D0535688,1,1,2007,2020-03-20T00:00:00,True
D0538840,D0545352,1,1,2007,2023-02-14T00:00:00,True
D0557735,D0558257,1,1,2007,2022-04-13T00:00:00,True
D0540849,D0550277,1,1,2007,2021-11-26T00:00:00,True
D0550277,D0552669,1,1,2007,2017-09-08T00:00:00,True
