node_A,node_B,node_C,sim_A_B,sim_B_C
D0538335,D0549280,D0556258,0.872118,0.968091
D0538335,D0549280,D0557334,0.872118,0.959224
D0549280,D0556258,D0557334,0.968091,0.948927
D0544907,D0556253,D0558262,0.845724,0.70057
D0537470,D0538842,D0538843,0.543019,0.677597
D0537470,D0538842,D0539334,0.543019,0.718705
D0537470,D0538842,D0539837,0.543019,0.623161
D0537470,D0538842,D0545886,0.543019,0.992752
D0537470,D0538842,D0552669,0.543019,0.839569
D0537470,D0538843,D0539334,0.948431,0.981594
D0537470,D0538843,D0539837,0.948431,0.976195
D0537470,D0538843,D0545886,0.948431,0.69272
D0537470,D0538843,D0552669,0.948431,0.913004
D0537470,D0539334,D0539837,0.936468,0.974274
D0537470,D0539334,D0545886,0.936468,0.730189
D0537470,D0539334,D0552669,0.936468,0.916946
D0537470,D0539837,D0545886,0.96203,0.635576
D0537470,D0539837,D0552669,0.96203,0.869682
D0537470,D0545886,D0552669,0.555523,0.85469
D0537470,D0545886,D0545887,0.555523,0.977218
D0538842,D0538843,D0539334,0.677597,0.981594
D0538842,D0538843,D0539837,0.677597,0.976195
D0538842,D0538843,D0545886,0.677597,0.69272
D0538842,D0538843,D0552669,0.677597,0.913004
D0538842,D0539334,D0539837,0.718705,0.974274
D0538842,D0539334,D0545886,0.718705,0.730189
D0538842,D0539334,D0552669,0.718705,0.916946
D0538842,D0539837,D0545886,0.623161,0.635576
D0538842,D0539837,D0552669,0.623161,0.869682
D0538842,D0545886,D0552669,0.992752,0.85469
D0538842,D0545886,D0545887,0.992752,0.977218
D0538843,D0539334,D0539837,0.981594,0.974274
D0538843,D0539334,D0545886,0.981594,0.730189
D0538843,D0539334,D0552669,0.981594,0.916946
D0538843,D0539837,D0545886,0.976195,0.635576
D0538843,D0539837,D0552669,0.976195,0.869682
D0538843,D0545886,D0552669,0.69272,0.85469
D0538843,D0545886,D0545887,0.69272,0.977218
D0539334,D0539837,D0545886,0.974274,0.635576
D0539334,D0539837,D0552669,0.974274,0.869682
D0539334,D0545886,D0552669,0.730189,0.85469
D0539334,D0545886,D0545887,0.730189,0.977218
D0539837,D0545886,D0552669,0.635576,0.85469
D0539837,D0545886,D0545887,0.635576,0.977218
D0536374,D0540855,D0549280,0.695371,0.724014
D0536374,D0540855,D0556258,0.695371,0.689712
D0536374,D0540855,D0557334,0.695371,0.742025
D0536374,D0540855,D0541337,0.695371,0.835689
D0536374,D0549280,D0556258,0.9094,0.968091
D0536374,D0549280,D0557334,0.9094,0.959224
D0536374,D0556258,D0557334,0.918357,0.948927
D0540855,D0549280,D0556258,0.724014,0.968091
D0540855,D0549280,D0557334,0.724014,0.959224
D0540855,D0556258,D0557334,0.689712,0.948927
D0534579,D0549771,D0552170,0.572739,0.512138
D0534579,D0549771,D0554698,0.572739,0.510921
D0534579,D0552170,D0554698,0.942259,0.967713
D0549771,D0552170,D0554698,0.512138,0.967713
D0536726,D0542333,D0542834,0.931998,0.953735
D0536726,D0542333,D0543231,0.931998,0.88987
D0536726,D0542333,D0545882,0.931998,0.876295
D0536726,D0542834,D0543231,0.958608,0.847461
D0536726,D0542834,D0545882,0.958608,0.906198
D0536726,D0543231,D0545882,0.871375,0.86004
D0542333,D0542834,D0543231,0.953735,0.847461
D0542333,D0542834,D0545882,0.953735,0.906198
D0542333,D0543231,D0545882,0.88987,0.86004
D0542834,D0543231,D0545882,0.847461,0.86004
D0544903,D0547361,D0553669,0.955247,0.856012
D0544903,D0547361,D0554694,0.955247,0.600378
D0548272,D0548273,D0555716,0.967725,0.829211
D0548272,D0548273,D0558257,0.967725,0.936625
D0548272,D0548273,D0557735,0.967725,0.963741
