node_A,node_B,node_C,sim_A_B,sim_C_B
D0538335,D0549280,D0540855,0.872118,0.724014
D0549280,D0557334,D0556258,0.959224,0.948927
D0544907,D0558262,D0556253,0.756428,0.70057
D0537470,D0538843,D0538842,0.948431,0.677597
D0537470,D0539334,D0538842,0.936468,0.718705
D0537470,D0539334,D0538843,0.936468,0.981594
D0537470,D0539837,D0538842,0.96203,0.623161
D0537470,D0539837,D0538843,0.96203,0.976195
D0537470,D0539837,D0539334,0.96203,0.974274
D0537470,D0545886,D0538842,0.555523,0.992752
D0537470,D0545886,D0538843,0.555523,0.69272
D0537470,D0545886,D0539334,0.555523,0.730189
D0537470,D0545886,D0539837,0.555523,0.635576
D0537470,D0552669,D0538842,0.830054,0.839569
D0537470,D0552669,D0538843,0.830054,0.913004
D0537470,D0552669,D0539334,0.830054,0.916946
D0537470,D0552669,D0539837,0.830054,0.869682
D0537470,D0552669,D0545886,0.830054,0.85469
D0537470,D0552669,D0550277,0.830054,0.787721
D0538842,D0539334,D0538843,0.718705,0.981594
D0538842,D0539837,D0538843,0.623161,0.976195
D0538842,D0539837,D0539334,0.623161,0.974274
D0538842,D0545886,D0538843,0.992752,0.69272
D0538842,D0545886,D0539334,0.992752,0.730189
D0538842,D0545886,D0539837,0.992752,0.635576
D0538842,D0552669,D0538843,0.839569,0.913004
D0538842,D0552669,D0539334,0.839569,0.916946
D0538842,D0552669,D0539837,0.839569,0.869682
D0538842,D0552669,D0545886,0.839569,0.85469
D0538842,D0552669,D0550277,0.839569,0.787721
D0538843,D0539837,D0539334,0.976195,0.974274
D0538843,D0545886,D0539334,0.69272,0.730189
D0538843,D0545886,D0539837,0.69272,0.635576
D0538843,D0552669,D0539334,0.913004,0.916946
D0538843,D0552669,D0539837,0.913004,0.869682
D0538843,D0552669,D0545886,0.913004,0.85469
D0538843,D0552669,D0550277,0.913004,0.787721
D0539334,D0545886,D0539837,0.730189,0.635576
D0539334,D0552669,D0539837,0.916946,0.869682
D0539334,D0552669,D0545886,0.916946,0.85469
D0539334,D0552669,D0550277,0.916946,0.787721
D0539837,D0552669,D0545886,0.869682,0.85469
D0539837,D0552669,D0550277,0.869682,0.787721
D0545886,D0552669,D0550277,0.85469,0.787721
D0536374,D0549280,D0538335,0.9094,0.872118
D0536374,D0549280,D0540855,0.9094,0.724014
D0536374,D0556258,D0549280,0.918357,0.968091
D0536374,D0556258,D0540855,0.918357,0.689712
D0536374,D0557334,D0549280,0.910671,0.959224
D0536374,D0557334,D0540855,0.910671,0.742025
D0536374,D0557334,D0556258,0.910671,0.948927
D0540855,D0556258,D0549280,0.689712,0.968091
D0540855,D0557334,D0549280,0.742025,0.959224
D0540855,D0557334,D0556258,0.742025,0.948927
D0534579,D0552170,D0549771,0.942259,0.512138
D0534579,D0554698,D0549771,0.956671,0.510921
D0534579,D0554698,D0552170,0.956671,0.967713
