node_A,node_B,node_C,sim_B_A,sim_C_B
D0556258,D0549280,D0538335,0.968091,0.872118
D0556258,D0549280,D0536374,0.968091,0.9094
D0556258,D0549280,D0540855,0.968091,0.724014
D0557334,D0549280,D0538335,0.959224,0.872118
D0557334,D0549280,D0536374,0.959224,0.9094
D0557334,D0549280,D0540855,0.959224,0.724014
D0556253,D0544907,D0537114,0.845724,0.723956
D0558262,D0544907,D0537114,0.756428,0.723956
D0558262,D0556253,D0544907,0.70057,0.845724
D0538843,D0538842,D0537470,0.677597,0.543019
D0539334,D0538842,D0537470,0.718705,0.543019
D0539837,D0538842,D0537470,0.623161,0.543019
D0545886,D0538842,D0537470,0.992752,0.543019
D0552669,D0538842,D0537470,0.839569,0.543019
D0539334,D0538843,D0537470,0.981594,0.948431
D0539334,D0538843,D0538842,0.981594,0.677597
D0539837,D0538843,D0537470,0.976195,0.948431
D0539837,D0538843,D0538842,0.976195,0.677597
D0545886,D0538843,D0537470,0.69272,0.948431
D0545886,D0538843,D0538842,0.69272,0.677597
D0552669,D0538843,D0537470,0.913004,0.948431
D0552669,D0538843,D0538842,0.913004,0.677597
D0539837,D0539334,D0537470,0.974274,0.936468
D0539837,D0539334,D0538842,0.974274,0.718705
D0539837,D0539334,D0538843,0.974274,0.981594
D0545886,D0539334,D0537470,0.730189,0.936468
D0545886,D0539334,D0538842,0.730189,0.718705
D0545886,D0539334,D0538843,0.730189,0.981594
D0552669,D0539334,D0537470,0.916946,0.936468
D0552669,D0539334,D0538842,0.916946,0.718705
D0552669,D0539334,D0538843,0.916946,0.981594
D0545886,D0539837,D0537470,0.635576,0.96203
D0545886,D0539837,D0538842,0.635576,0.623161
D0545886,D0539837,D0538843,0.635576,0.976195
D0545886,D0539837,D0539334,0.635576,0.974274
D0552669,D0539837,D0537470,0.869682,0.96203
D0552669,D0539837,D0538842,0.869682,0.623161
D0552669,D0539837,D0538843,0.869682,0.976195
D0552669,D0539837,D0539334,0.869682,0.974274
D0552669,D0545886,D0537470,0.85469,0.555523
D0552669,D0545886,D0538842,0.85469,0.992752
D0552669,D0545886,D0538843,0.85469,0.69272
D0552669,D0545886,D0539334,0.85469,0.730189
D0552669,D0545886,D0539837,0.85469,0.635576
D0545887,D0545886,D0537470,0.977218,0.555523
D0545887,D0545886,D0538842,0.977218,0.992752
D0545887,D0545886,D0538843,0.977218,0.69272
D0545887,D0545886,D0539334,0.977218,0.730189
D0545887,D0545886,D0539837,0.977218,0.635576
D0549280,D0540855,D0536374,0.724014,0.695371
D0556258,D0540855,D0536374,0.689712,0.695371
D0557334,D0540855,D0536374,0.742025,0.695371
D0541337,D0540855,D0536374,0.835689,0.695371
D0557334,D0556258,D0549280,0.948927,0.968091
D0557334,D0556258,D0536374,0.948927,0.918357
D0557334,D0556258,D0540855,0.948927,0.689712
D0552170,D0549771,D0534579,0.512138,0.572739
D0554698,D0549771,D0534579,0.510921,0.572739
D0554698,D0552170,D0534579,0.967713,0.942259
D0554698,D0552170,D0549771,0.967713,0.512138
D0542834,D0542333,D0536726,0.953735,0.931998
D0543231,D0542333,D0536726,0.88987,0.931998
D0545882,D0542333,D0536726,0.876295,0.931998
D0543231,D0542834,D0536726,0.847461,0.958608
D0543231,D0542834,D0542333,0.847461,0.953735
D0545882,D0542834,D0536726,0.906198,0.958608
D0545882,D0542834,D0542333,0.906198,0.953735
D0545882,D0543231,D0536726,0.86004,0.871375
D0545882,D0543231,D0542333,0.86004,0.88987
D0545882,D0543231,D0542834,0.86004,0.847461
D0553669,D0547361,D0544903,0.856012,0.955247
D0554694,D0547361,D0544903,0.600378,0.955247
D0555716,D0548273,D0548272,0.829211,0.967725
D0558257,D0548273,D0548272,0.936625,0.967725
D0557735,D0548273,D0548272,0.963741,0.967725
D0558257,D0555716,D0548272,0.877168,0.834131
D0558257,D0555716,D0548273,0.877168,0.829211
D0552167,D0548278,D0535324,0.665761,0.677379
D0553184,D0548278,D0535324,0.704561,0.677379
D0553184,D0552167,D0535324,0.973821,0.911183
D0553184,D0552167,D0548278,0.973821,0.665761
D0547368,D0538338,D0537477,0.810905,0.838879
D0551286,D0538338,D0537477,0.785392,0.838879
D0551286,D0547368,D0537477,0.988642,0.898729
D0551286,D0547368,D0538338,0.988642,0.810905
D0558257,D0557735,D0548272,0.919996,0.936345
D0558257,D0557735,D0548273,0.919996,0.963741
D0552669,D0550277,D0540849,0.787721,0.565042
D0580485,D0569421,D0559893,0.791828,0.808621
D0580971,D0569421,D0559893,0.828538,0.808621
D0580971,D0580485,D0559893,0.882726,0.823664
D0580971,D0580485,D0569421,0.882726,0.791828
D0581976,D0579973,D0575330,0.933783,0.887961
D0582471,D0562377,D0560711,0.754856,0.858317
D0574419,D0574418,D0574417,0.930706,0.985537
D0574420,D0574418,D0574417,0.891024,0.985537
D0574421,D0574418,D0574417,0.849444,0.985537
D0574422,D0574418,D0574417,0.947885,0.985537
D0579481,D0574418,D0574417,0.977173,0.985537
D0579482,D0574418,D0574417,0.99017,0.985537
D0574420,D0574419,D0574417,0.962868,0.940051
D0574420,D0574419,D0574418,0.962868,0.930706
D0574421,D0574419,D0574417,0.959146,0.940051
D0574421,D0574419,D0574418,0.959146,0.930706
D0574422,D0574419,D0574417,0.963308,0.940051
D0574422,D0574419,D0574418,0.963308,0.930706
D0579481,D0574419,D0574417,0.965659,0.940051
D0579481,D0574419,D0574418,0.965659,0.930706
D0579482,D0574419,D0574417,0.950011,0.940051
D0579482,D0574419,D0574418,0.950011,0.930706
D0574421,D0574420,D0574417,0.966548,0.887641
D0574421,D0574420,D0574418,0.966548,0.891024
D0574421,D0574420,D0574419,0.966548,0.962868
D0574422,D0574420,D0574417,0.969038,0.887641
D0574422,D0574420,D0574418,0.969038,0.891024
D0574422,D0574420,D0574419,0.969038,0.962868
D0579481,D0574420,D0574417,0.915396,0.887641
D0579481,D0574420,D0574418,0.915396,0.891024
D0579481,D0574420,D0574419,0.915396,0.962868
D0579482,D0574420,D0574417,0.921291,0.887641
D0579482,D0574420,D0574418,0.921291,0.891024
D0579482,D0574420,D0574419,0.921291,0.962868
D0574422,D0574421,D0574417,0.921714,0.867248
D0574422,D0574421,D0574418,0.921714,0.849444
D0574422,D0574421,D0574419,0.921714,0.959146
D0574422,D0574421,D0574420,0.921714,0.966548
D0579481,D0574421,D0574417,0.905826,0.867248
D0579481,D0574421,D0574418,0.905826,0.849444
D0579481,D0574421,D0574419,0.905826,0.959146
D0579481,D0574421,D0574420,0.905826,0.966548
D0579482,D0574421,D0574417,0.881268,0.867248
D0579482,D0574421,D0574418,0.881268,0.849444
D0579482,D0574421,D0574419,0.881268,0.959146
D0579482,D0574421,D0574420,0.881268,0.966548
D0579481,D0574422,D0574417,0.944693,0.931929
D0579481,D0574422,D0574418,0.944693,0.947885
D0579481,D0574422,D0574419,0.944693,0.963308
D0579481,D0574422,D0574420,0.944693,0.969038
D0579481,D0574422,D0574421,0.944693,0.921714
D0579482,D0574422,D0574417,0.963734,0.931929
D0579482,D0574422,D0574418,0.963734,0.947885
D0579482,D0574422,D0574419,0.963734,0.963308
D0579482,D0574422,D0574420,0.963734,0.969038
D0579482,D0574422,D0574421,0.963734,0.921714
D0579482,D0579481,D0574417,0.980778,0.985487
D0579482,D0579481,D0574418,0.980778,0.977173
D0579482,D0579481,D0574419,0.980778,0.965659
D0579482,D0579481,D0574420,0.980778,0.915396
D0579482,D0579481,D0574421,0.980778,0.905826
D0579482,D0579481,D0574422,0.980778,0.944693
D0581975,D0581457,D0573180,0.786268,0.96791
D0596663,D0588190,D0585483,0.981013,0.852334
D0588633,D0588190,D0585483,0.940739,0.852334
D0602074,D0602073,D0591335,0.919552,0.955098
D0602518,D0602073,D0591335,0.932039,0.955098
D0604763,D0602073,D0591335,0.940296,0.955098
D0602518,D0602074,D0591335,0.913826,0.901498
D0602518,D0602074,D0602073,0.913826,0.919552
D0604763,D0602074,D0591335,0.951066,0.901498
D0604763,D0602074,D0602073,0.951066,0.919552
D0604763,D0602518,D0591335,0.973145,0.982745
D0604763,D0602518,D0602073,0.973145,0.932039
D0604763,D0602518,D0602074,0.973145,0.913826
D0598045,D0594055,D0587296,0.870433,0.868095
D0597131,D0595346,D0595345,0.979496,0.970517
D0587748,D0586849,D0585090,0.842317,0.923641
D0591340,D0586849,D0585090,0.943461,0.923641
D0592241,D0586849,D0585090,0.93196,0.923641
D0595767,D0586849,D0585090,0.81668,0.923641
D0591792,D0586849,D0585090,0.961338,0.923641
D0591340,D0587748,D0586849,0.739953,0.842317
D0592241,D0587748,D0586849,0.707875,0.842317
D0595767,D0587748,D0586849,0.893905,0.842317
D0592241,D0591340,D0586849,0.972759,0.943461
D0592241,D0591340,D0587748,0.972759,0.739953
D0595767,D0591340,D0586849,0.690333,0.943461
D0595767,D0591340,D0587748,0.690333,0.739953
D0595767,D0592241,D0586849,0.656452,0.93196
D0595767,D0592241,D0587748,0.656452,0.707875
D0595767,D0592241,D0591340,0.656452,0.972759
D0595767,D0592241,D0591791,0.656452,0.919552
D0616019,D0611530,D0608822,0.871192,0.904561
D0614234,D0607925,D0607502,0.873882,0.835555
D0620519,D0615583,D0614687,0.955309,0.953853
D0620519,D0615583,D0615120,0.955309,0.977243
D0617830,D0615583,D0614687,0.8807,0.953853
D0617830,D0615583,D0615120,0.8807,0.977243
D0616926,D0616925,D0611525,0.911967,0.844795
D0616926,D0616925,D0615122,0.911967,0.927939
D0616926,D0616925,D0615123,0.911967,0.876902
D0616926,D0616925,D0616924,0.911967,0.915381
D0615123,D0615122,D0611525,0.924953,0.826318
D0616924,D0615122,D0611525,0.868948,0.826318
D0616925,D0615122,D0611525,0.927939,0.826318
D0616926,D0615122,D0611525,0.896905,0.826318
D0616924,D0615123,D0611525,0.892853,0.818872
D0616924,D0615123,D0615122,0.892853,0.924953
D0616925,D0615123,D0611525,0.876902,0.818872
D0616925,D0615123,D0615122,0.876902,0.924953
D0616926,D0615123,D0611525,0.883483,0.818872
D0616926,D0615123,D0615122,0.883483,0.924953
D0616925,D0616924,D0611525,0.915381,0.898544
D0616925,D0616924,D0615122,0.915381,0.868948
D0616925,D0616924,D0615123,0.915381,0.892853
D0616926,D0616924,D0611525,0.955123,0.898544
D0616926,D0616924,D0615122,0.955123,0.868948
D0616926,D0616924,D0615123,0.955123,0.892853
